survey_year,covid_period,USE_CMS,USE_FPC,USE_CCL,USE_WALC,USE_AORO,USE_ERPSS,USE_CWS,IMP_CMS,IMP_FPC,IMP_CFCPS,IMP_SICP,IMP_SDCP,IMP_CCL,IMP_AWAC,IMP_PWAC,IMP_AORO,IMP_ERPSS,IMP_SERPP,IMP_CWS,IMP_ICDA,IMP_ILDA,IMP_OCS,IMP_OLS,DS_CMS,DS_CMSS,DS_FPC,DS_CFCPS,DS_SICP,DS_SDCP,DS_CCL,DS_AWAC,DS_PWAC,DS_AORO,DS_ERPSS,DS_SERPP,DS_CWS,DS_OCS,DS_OLS,AAG_TUC,INF_ATS,INF_PI,INF_CDCN,INF_CERPS,INF_CLN,INF_SSD,DAHD_F,DAHD_K,DAHD_RL,DAHD_RS,USE_HSE,IMP_CMSS,IMP_HSE,IMP_EMSF,DS_HSE,DS_EMSF,USE_CS,IMP_CS,DS_CS,DS_CLS,composite_IT_usage,composite_IT_importance,composite_IT_satisfaction,composite_helpdesk_staff,composite_IT_awareness,digital_engagement_index,IT_importance_satisfaction_gap,device_ownership_count,gender,age_label,adiv_label,HISP,INTER,is_outlier_composite,satisfaction_deficit
2018,pre_covid,5.0,2.0,2.0,5.0,4.0,5.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,,,,,,,,,,,3.4,3.5454545454545454,3.8333333333333335,4.0,2.0,3.3333333333333335,-0.28787878787878807,0,Not_reported,Not_reported,Other/Unknown,,,False,0.0
2018,pre_covid,3.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,4.0,4.0,4.0,4.0,,,,,,,,,,,3.2,3.272727272727273,3.5833333333333335,4.0,3.0,3.0,-0.31060606060606055,2,Male,Not_reported,Social_Behavioral_Sciences,False,False,False,0.0
2018,pre_covid,1.0,1.0,2.0,5.0,5.0,5.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,,,,,,,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,2.8,3.6363636363636362,3.5714285714285716,,2.0,2.6666666666666665,0.06493506493506462,4,Female,Not_reported,Social_Behavioral_Sciences,False,False,True,0.06493506493506462
2018,pre_covid,5.0,1.0,1.0,5.0,5.0,5.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,,,,,,,,,,,3.4,4.0,4.0,4.0,1.0,3.6666666666666665,0.0,2,Female,Not_reported,Arts_Humanities,False,False,False,0.0
2018,pre_covid,5.0,1.0,1.0,5.0,5.0,5.0,1.0,4.0,2.0,2.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,,3.0,1.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,,,,,,,,,,,,,,,3.4,3.3636363636363638,3.4545454545454546,,4.0,3.6666666666666665,-0.09090909090909083,2,Female,Not_reported,STEM,False,False,True,0.0
2018,pre_covid,5.0,3.0,4.0,5.0,2.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,,,,,,,,,,,3.4,3.909090909090909,4.0,4.0,3.0,3.0,-0.09090909090909083,3,Male,Not_reported,STEM,True,False,False,0.0
2018,pre_covid,5.0,3.0,1.0,5.0,5.0,5.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,,1.0,1.0,1.0,,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,,,,,,,,,,,3.8,1.8181818181818181,3.090909090909091,4.0,3.0,3.6666666666666665,-1.2727272727272727,2,Male,Not_reported,Education,False,False,True,0.0
2018,pre_covid,5.0,1.0,1.0,5.0,1.0,3.0,1.0,4.0,2.0,,,3.0,,4.0,4.0,3.0,4.0,4.0,,2.0,2.0,2.0,2.0,3.0,3.0,,,3.0,4.0,,2.0,2.0,3.0,4.0,,,3.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,,,,,,,,,,,2.2,3.3333333333333335,3.0,4.0,2.0,2.3333333333333335,0.3333333333333335,3,Female,Not_reported,Education,False,False,True,0.3333333333333335
2018,pre_covid,5.0,1.0,3.0,5.0,4.0,5.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,1.0,3.0,3.0,4.0,4.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,,,,,,,,,,,3.2,2.8181818181818183,2.5833333333333335,4.0,3.0,3.3333333333333335,0.23484848484848486,4,Male,Not_reported,Arts_Humanities,False,False,True,0.23484848484848486
2018,pre_covid,4.0,2.0,2.0,5.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,,,,,,,,,,,2.4,3.1818181818181817,3.75,4.0,3.0,2.6666666666666665,-0.5681818181818183,1,Male,Not_reported,STEM,False,False,False,0.0
